date,market,category,product,price_cdf,unit
2026-07-01,Kadutu,Cereals,Maize Flour,71250,Sac 25Kg
2026-07-01,Nyawera,Cereals,Maize Flour,72675,Sac 25Kg
2026-07-01,Kadutu,Legumes,Red Beans,3800,Kg
2026-07-01,Nyawera,Legumes,Red Beans,3990,Kg
2026-07-01,Feu Vert,Oils,Palm Oil,3200,Litre
2026-07-15,Kadutu,Cereals,Maize Flour,69900,Sac 25Kg
2026-07-15,Nyawera,Cereals,Maize Flour,71250,Sac 25Kg
2026-07-15,Kadutu,Legumes,Red Beans,3700,Kg
2026-07-15,Nyawera,Legumes,Red Beans,3850,Kg
2026-07-15,Feu Vert,Oils,Palm Oil,3100,Litre
2026-08-01,Kadutu,Cereals,Maize Flour,68400,Sac 25Kg
2026-08-01,Nyawera,Cereals,Maize Flour,69900,Sac 25Kg
2026-08-01,Kadutu,Legumes,Red Beans,3600,Kg
2026-08-01,Nyawera,Legumes,Red Beans,3700,Kg
2026-08-01,Feu Vert,Oils,Palm Oil,3000,Litre

